timestamp,event_type,ear,mar,head_tilt_degrees,attention_score,details
2026-05-01 13:18:17,DROWSY,0.2180,0.1635,-11.39,52,Consecutive frame threshold reached
2026-05-01 13:18:26,DROWSY,0.2159,0.1753,-3.21,52,Consecutive frame threshold reached
2026-05-01 13:18:30,DROWSY,0.2284,0.1795,-4.87,53,Consecutive frame threshold reached
2026-05-01 13:18:33,DROWSY,0.2263,0.1749,-3.99,53,Consecutive frame threshold reached
2026-05-01 13:18:36,DROWSY,0.2398,0.1898,-4.57,54,Consecutive frame threshold reached
2026-05-01 15:00:16,DROWSY,0.1147,0.1789,-4.56,41,Consecutive frame threshold reached
2026-05-01 15:00:19,DROWSY,0.0906,0.1885,1.71,40,Consecutive frame threshold reached
2026-05-01 15:00:22,DROWSY,0.1050,0.1778,0.00,41,Consecutive frame threshold reached
2026-05-01 15:00:29,HEAD TILT,0.2452,0.1705,-16.78,76,Consecutive frame threshold reached
2026-05-01 15:00:32,DROWSY,0.0682,0.1803,-28.90,17,Consecutive frame threshold reached
2026-05-01 15:00:32,HEAD TILT,0.0753,0.1676,-30.43,12,Consecutive frame threshold reached
2026-05-01 15:00:35,DROWSY,0.2402,0.2008,7.78,54,Consecutive frame threshold reached
2026-05-01 15:00:38,DROWSY,0.1963,0.1945,30.59,22,Consecutive frame threshold reached
2026-05-01 15:00:38,HEAD TILT,0.1963,0.1945,30.59,22,Consecutive frame threshold reached
2026-05-01 15:00:41,HEAD TILT,0.2911,0.2001,-18.64,78,Consecutive frame threshold reached
2026-05-01 15:00:43,DROWSY,0.2341,0.2040,-5.38,53,Consecutive frame threshold reached
2026-05-01 15:00:47,DROWSY,0.2162,0.1760,-2.59,52,Consecutive frame threshold reached
2026-05-01 18:59:21,HEAD TILT,0.2234,0.1638,44.08,40,Consecutive frame threshold reached
2026-05-01 18:59:26,HEAD TILT,0.2297,0.1704,36.09,63,Consecutive frame threshold reached
2026-05-01 18:59:30,DROWSY,0.0445,0.1666,4.14,40,Consecutive frame threshold reached
2026-05-01 18:59:35,DROWSY,0.0586,0.1734,3.50,40,Consecutive frame threshold reached
2026-05-01 18:59:38,DROWSY,0.0804,0.1739,8.18,40,Consecutive frame threshold reached
2026-05-01 18:59:42,HEAD TILT,0.3627,0.1967,19.72,78,Consecutive frame threshold reached
2026-05-01 18:59:44,DROWSY,0.1043,0.1752,12.53,40,Consecutive frame threshold reached
2026-05-01 18:59:51,DROWSY,0.2393,0.1812,6.46,54,Consecutive frame threshold reached
2026-05-01 19:00:03,DROWSY,0.0622,0.1821,7.85,40,Consecutive frame threshold reached
2026-05-01 19:00:09,DROWSY,0.2118,0.1795,11.64,51,Consecutive frame threshold reached
2026-05-01 19:00:14,DROWSY,0.2457,0.1729,7.94,55,Consecutive frame threshold reached
2026-05-01 19:00:21,DROWSY,0.1834,0.2056,10.92,48,Consecutive frame threshold reached
2026-05-01 19:00:29,DROWSY,0.1843,0.1718,1.81,48,Consecutive frame threshold reached
2026-05-01 19:00:41,DROWSY,0.2141,0.1557,0.00,51,Consecutive frame threshold reached
